Country,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Regime type,Democracy_Index,biofuel_elec_per_capita,coal_elec_per_capita,coal_production,gas_production,low_carbon_electricity,oil_production,renewables_production,non_renewables_production,total_production,Food supply (kcal per capita per day),Food supply (Protein g per capita per day),Food supply (Fat g per capita per day),Deaths,Total_Emissions,Human Development Index,Rule_of_Law_Index,Median Age,Urban Population (%),Tax_Revenue
Albania,2011,5.867421627044678,9.310437202453612,0.7594338059425354,67.87999725341797,0.4874962568283081,-0.2087150812149047,0.8770025968551636,0.5657588839530945,0.2565765082836151,Flawed democracy,5.81,0.0,0.0,0.014,0.103,4.13,10.473,4.13,0.06,4.19,3295.9885,111.42961,105.05963,0,176049.6754,0.779,0.525,32.024,53.247,22.882267
Albania,2012,5.510124206542969,9.32616138458252,0.7845017910003662,68.16000366210938,0.6015121340751648,-0.1729880422353744,0.8476752042770386,0.553473174571991,0.2713932394981384,Flawed democracy,5.67,0.0,0.0,0.014,0.176,4.72,11.396,4.72,0.0,4.72,3345.9988,112.34996,108.55996,0,165703.2412,0.789,0.527,32.357,54.33,22.238976
Albania,2013,4.550647735595703,9.337964057922363,0.7594767212867737,68.44000244140625,0.6318302750587463,-0.1313392966985702,0.862904965877533,0.5407509803771973,0.3383785784244537,Flawed democracy,5.67,0.0,0.0,0.008,0.197,6.96,11.481,6.96,0.0,6.96,3341.9895,113.41965,108.22967,0,164783.8482,0.793,0.546,32.667,55.387,21.395224
Albania,2014,4.81376314163208,9.357623100280762,0.6255869269371033,68.72000122070312,0.7346484065055847,-0.0288011599332094,0.8827044367790222,0.5729450583457947,0.3345426619052887,Flawed democracy,5.67,0.0,0.0,0.0,0.331,4.72,13.843,4.72,0.0,4.72,3317.0,112.03,111.73,0,170482.85270000002,0.797,0.546,32.969,56.423,23.933598
Albania,2015,4.6066508293151855,9.382479667663574,0.6393561363220215,69.0,0.7038506865501404,-0.0849818587303161,0.8847930431365967,0.5790717005729675,0.3504266738891601,Flawed democracy,5.91,0.0,0.0,0.0,0.362,5.89,13.61,5.89,0.0,5.89,3329.9976,113.929924,112.44992,0,161514.17200000002,0.797,0.546,33.286,57.434,23.985617
Albania,2016,4.511100769042969,9.416690826416016,0.6384114623069763,69.0250015258789,0.7298189401626587,-0.0211359020322561,0.901070773601532,0.5670797228813171,0.3217059969902038,Flawed democracy,5.91,0.0,0.0,0.0,0.466,7.78,15.398,7.78,0.0,7.78,3364.9954,116.41984,116.49984,0,153421.2469,0.795,0.546,33.594,58.421,23.537329
Albania,2018,5.0044026374816895,9.49680519104004,0.6835916638374329,69.07499694824219,0.8242123126983643,0.0047685811296105,0.8991293907165527,0.5920446515083313,0.3189967274665832,Flawed democracy,5.98,0.0,0.0,,,8.55,,8.55,0.0,8.55,3351.9895,115.27964,117.13963,0,152948.62754000002,0.797,0.551,34.283,60.319,25.149136
Albania,2019,4.995317935943604,9.521727561950684,0.6863648891448975,69.0999984741211,0.777351438999176,-0.1033250391483306,0.9142842888832092,0.5481892824172974,0.2738273739814758,Flawed democracy,5.89,0.0,0.0,,,5.2,,5.199999999999999,0.0,5.199999999999999,3374.9963,118.39987,115.15988,0,142125.1364,0.8,0.567,34.708,61.229,24.942486
Albania,2020,5.364909648895264,9.493891716003418,0.7101150155067444,69.125,0.7536710500717163,0.0015586202498525,0.8913589715957642,0.5634861588478088,0.2650661170482635,Flawed democracy,6.08,0.0,0.0,,,5.31,,5.3100000000000005,0.0,5.3100000000000005,3349.0,115.28001,111.89,0,131133.05116,0.784,0.566,35.127,62.112,23.912548
Albania,2021,5.255481719970703,9.588499069213867,0.7018827795982361,69.1500015258789,0.8274527192115784,0.0386028848588466,0.8961266279220581,0.553830087184906,0.2536544799804687,Flawed democracy,6.11,0.0,0.0,,,8.96,,8.959999999999999,0.0,8.959999999999999,3399.0,120.13,114.45,0,135294.17252999998,0.785,0.621,35.549,62.969,24.741135
Angola,2011,5.589000701904297,8.944195747375488,0.7230943441390991,51.220001220703125,0.5837017893791199,0.0498906001448631,0.9113203287124634,0.6668325662612915,0.361063152551651,Hybrid regime,3.32,0.0,0.0,0.0,8.156,4.02,954.029,4.02,1.64,5.659999999999999,2489.999,51.089977,56.959972,0,2460981.8200000003,0.533,0.134,16.314,60.528,43.97701
Angola,2012,4.360249996185303,8.988576889038086,0.7525928616523743,51.84000015258789,0.4560285806655884,-0.1413355022668838,0.9063004851341248,0.5908082127571106,0.3048900663852691,Hybrid regime,3.35,0.0,0.0,0.0,8.243,5.48,991.991,5.48,2.24,7.72,2438.999,52.63998,53.63998,0,2521154.077,0.545,0.134,16.324,61.268,40.351902
Angola,2013,3.9371068477630615,8.999579429626465,0.7215907573699951,52.459999084472656,0.4095548689365387,-0.1086951494216919,0.8163754940032959,0.650046706199646,0.3708750009536743,Hybrid regime,3.35,0.0,0.0,0.0,10.032,4.73,990.945,4.73,3.42,8.149999999999999,2518.9988,54.09997,56.059975,0,2585977.503,0.555,0.136,16.329,62.002,35.79385
Angola,2014,3.794837951660156,9.00983428955078,0.7546154856681824,53.08000183105469,0.3745415508747101,-0.1727304309606552,0.8340756297111511,0.5952494144439697,0.3678641319274902,Hybrid regime,3.35,1.474,0.0,0.0,7.928,5.05,968.516,5.09,4.51,9.6,2553.0,59.54,62.47,0,2673436.698,0.565,0.136,16.317,62.731,29.216988
Argentina,2008,5.961034297943115,10.04291820526123,0.8921945095062256,66.05999755859375,0.6782221794128418,-0.1370057016611099,0.8649962544441223,0.719996988773346,0.3182222843170166,Flawed democracy,6.63,30.044,48.17,1.058,428.483,39.84,439.67,33.656,89.46,123.116,3111.127,97.87538,109.63817,0,2905362.521,0.825,0.527,28.437,90.53,27.623968
Argentina,2010,6.441067218780518,10.06566047668457,0.9267985820770264,66.30000305175781,0.7302581667900085,-0.1315066814422607,0.8546954393386841,0.7654804587364197,0.2109754979610443,Flawed democracy,6.84,33.577,73.236,0.427,389.97,41.98,387.029,36.147000000000006,91.23,127.377,3077.9998,103.23999,102.35999,0,2950205.763,0.834,0.527,28.874,90.849,29.067072
Argentina,2011,6.775805473327637,10.112436294555664,0.8890734910964966,66.41999816894531,0.8158020377159119,-0.1798323094844818,0.7546457052230835,0.7689425349235535,0.2318551540374755,Flawed democracy,6.84,33.477,70.085,0.591,377.178,39.01,362.685,34.0,96.88,130.88,3071.0002,102.950005,103.600006,0,3070063.832,0.842,0.53,29.081,90.99,29.298832
Argentina,2012,6.468387126922607,10.090749740600586,0.9017763733863832,66.54000091552734,0.7474983930587769,-0.1534416675567627,0.8165462017059326,0.744064211845398,0.2722191214561462,Flawed democracy,6.84,34.563,62.929,0.624,366.912,37.39,358.678,32.443000000000005,105.03000000000002,137.473,3100.9998,103.549995,111.73998,0,3038088.089,0.844,0.53,29.29,91.121,30.635242
Argentina,2013,6.5822601318359375,10.103326797485352,0.9098742008209229,66.66000366210938,0.7372503876686096,-0.1359540969133377,0.8229002952575684,0.766156792640686,0.2542047202587127,Flawed democracy,6.84,36.095,56.148,0.545,345.559,40.98,351.063,36.29700000000001,104.68,140.977,3132.0,106.69001,109.36001,0,3124260.236,0.846,0.514,29.492,91.249,31.17895
Argentina,2014,6.671114444732666,10.066884994506836,0.9178704023361206,66.77999877929688,0.7450577616691589,-0.1699784845113754,0.8541916012763977,0.7694680094718933,0.2379128634929657,Flawed democracy,6.84,34.56,59.312,0.374,344.859,40.05,346.415,36.023,104.0,140.02300000000002,3170.999,105.38997,116.05996,0,3135495.6500000004,0.847,0.514,29.677,91.377,31.12297
Argentina,2015,6.6971306800842285,10.083050727844238,0.9264922738075256,66.9000015258789,0.8812236785888672,-0.1796781569719314,0.8509061932563782,0.7678452730178833,0.3053549230098724,Flawed democracy,7.02,34.445,55.251,0.223,354.911,41.47,349.431,35.91700000000001,110.99,146.907,3226.0005,111.250015,117.180016,0,3150125.424,0.85,0.536,29.861,91.503,31.453716
Argentina,2016,6.427221298217773,10.051456451416016,0.8828191161155701,66.94999694824219,0.8477022051811218,-0.1975760757923126,0.8509244918823242,0.7317351698875427,0.3116464614868164,Flawed democracy,6.96,27.022,44.197,0.166,372.824,39.77,333.038,32.667,115.69,148.35700000000003,3168.0002,108.65001,115.850006,0,3213314.842,0.848,0.659,30.051,91.627,30.661215
Argentina,2017,6.039330005645752,10.068880081176758,0.9066991209983826,67.0,0.8319661617279053,-0.1917345076799392,0.8410524725914001,0.715182363986969,0.2917172610759735,Flawed democracy,6.96,33.141,45.625,,371.499,39.77,317.016,35.142,111.93,147.072,3195.0005,110.37002,115.87002,0,3168177.26,0.853,0.675,30.258,91.749,30.04403
Argentina,2018,5.792796611785889,10.032198905944824,0.8999115824699402,67.05000305175781,0.8458946943283081,-0.216326355934143,0.8552552461624146,0.7320699095726013,0.3205020725727081,Flawed democracy,7.02,31.972,45.707,,394.233,42.09,320.519,36.637,111.56,148.197,3238.0007,113.17002,118.68002,0,3241327.374,0.852,0.658,30.491,91.87,28.5132
Argentina,2019,6.08556079864502,10.002053260803224,0.896370530128479,67.0999984741211,0.8170526027679443,-0.216646522283554,0.8304597735404968,0.7349058389663696,0.3190548419952392,Flawed democracy,7.02,33.076,26.148,,416.153,43.22,393.432,36.256,104.75,141.006,3270.0002,114.76001,127.28001,0,3186045.3289999994,0.853,0.656,30.763,91.991,28.184532
Argentina,2020,5.900567054748535,9.887622833251951,0.8971038460731506,67.1500015258789,0.8233916163444519,-0.1307778656482696,0.8157804608345032,0.6793167591094971,0.3424969315528869,Flawed democracy,6.95,48.85,36.415,,382.925,46.63,392.294,38.82000000000001,108.02,146.84000000000003,3308.0,117.87,131.22,0,2952870.918,0.841,0.636,31.08,92.111,29.451418
Argentina,2021,5.908278942108154,9.977072715759276,0.8823045492172241,67.19999694824219,0.8194793462753296,-0.0143803218379616,0.8162567019462585,0.6848600506782532,0.3451315760612488,Flawed democracy,6.81,49.694,52.566,,386.085,47.21,437.046,39.294,116.11,155.404,3340.9995,119.94998,139.52998,0,3225728.968,0.844,0.63,31.403,92.229,29.081787
Armenia,2008,4.65197229385376,9.23029613494873,0.7094855308532715,64.31999969482422,0.4621565639972687,-0.2190451472997665,0.8760992288589478,0.4862301647663116,0.3848918080329895,Hybrid regime,4.09,0.0,0.0,0.0,0.0,4.05,0.0,1.78,4.12,5.9,2862.8215,87.41135,81.49412,0,111950.9841,0.733,0.219,30.662,63.64,20.651382
Armenia,2010,4.36781120300293,9.112593650817873,0.6603423357009888,64.80000305175781,0.4592567086219787,-0.1799857020378112,0.890629231929779,0.4367476999759674,0.4264958500862121,Hybrid regime,4.09,0.0,0.0,0.0,0.0,4.83,0.0,2.54,3.73,6.27,3147.9937,97.5798,93.64981,0,107688.33620000002,0.739,0.226,31.292,63.44,20.659874
Armenia,2011,4.260491371154785,9.164417266845703,0.7051084637641907,65.04000091552734,0.4645247161388397,-0.2297377288341522,0.8746010065078735,0.410856693983078,0.4590740799903869,Hybrid regime,4.09,0.0,0.0,0.0,0.0,4.82,0.0,2.46,4.75,7.21,3157.9956,101.189865,94.909874,0,111345.08595,0.743,0.23,31.559,63.34,21.0034
Armenia,2012,4.319711685180664,9.238924980163574,0.6764464378356934,65.27999877929688,0.5018637776374817,-0.2200271785259246,0.8925443887710571,0.4698740541934967,0.4638554453849792,Hybrid regime,4.09,0.0,0.0,0.0,0.0,4.42,0.0,2.3,5.52,7.819999999999999,3148.9912,101.42972,95.969734,9,118373.8406,0.751,0.236,31.808,63.24,20.985285
Armenia,2013,4.277191162109375,9.27587604522705,0.7232600450515747,65.5199966430664,0.5040818452835083,-0.2009808719158172,0.8997967839241028,0.50290447473526,0.4499498307704925,Hybrid regime,4.02,0.0,0.0,0.0,0.0,4.32,0.0,2.15,5.34,7.49,3202.0044,104.58014,99.560135,0,121638.28626,0.757,0.241,32.081,63.164,22.43688
Armenia,2014,4.453083038330078,9.31519889831543,0.7387635111808777,65.76000213623047,0.5064871311187744,-0.2246278226375579,0.920390486717224,0.5101979970932007,0.4039843380451202,Hybrid regime,4.13,0.0,0.0,0.0,0.0,4.24,0.0,1.97,5.5600000000000005,7.53,3217.9922,106.45974,106.38974,3,125179.34703,0.764,0.239,32.384,63.112,22.43237
Armenia,2015,4.3483195304870605,9.350626945495604,0.7225510478019714,66.0,0.5510266423225403,-0.2093866020441055,0.901462197303772,0.5268528461456299,0.4379477202892303,Hybrid regime,4.0,0.0,0.0,0.0,0.0,4.75,0.0,2.18,5.369999999999999,7.549999999999999,3213.9912,109.1997,105.00971,9,126754.0674,0.769,0.236,32.715,63.085,21.574928
Armenia,2016,4.325471878051758,9.357068061828612,0.7092183232307434,66.2750015258789,0.6109869480133057,-0.1777603477239608,0.9214210510253906,0.5159894227981567,0.4372278153896332,Hybrid regime,3.88,0.0,0.0,0.0,0.0,4.52,0.0,2.33,4.77,7.1,3184.999,109.24996,106.31997,5,129585.4982,0.773,0.246,33.067,63.082,21.761496
Armenia,2017,4.287736415863037,9.43425464630127,0.6979249119758606,66.55000305175781,0.6136970520019531,-0.1547605097293853,0.8646833300590515,0.5524067282676697,0.4371487498283386,Hybrid regime,4.11,0.0,0.0,,,4.66,,2.25,5.28,7.53,3132.99,107.76965,110.80965,0,130158.6212,0.775,0.258,33.445,63.103,21.260899
Armenia,2018,5.062448501586914,9.490350723266602,0.8144490122795105,66.82499694824219,0.8076436519622803,-0.1710782647132873,0.6768263578414917,0.5354028344154358,0.4548402726650238,Hybrid regime,4.79,0.0,0.0,,,4.21,,2.31,5.279999999999999,7.59,3176.9968,106.219894,110.29989,0,127014.5076,0.781,0.677,33.938,63.149,21.306564
Armenia,2019,5.488086700439453,9.569241523742676,0.7816038727760315,67.0999984741211,0.8443241119384766,-0.1814296394586563,0.583472728729248,0.5365626215934753,0.4304634034633636,Hybrid regime,5.54,0.0,0.0,,,4.44,,2.41,5.08,7.49,3229.9956,107.61985,114.839836,0,122765.845,0.789,0.775,34.525,63.219,22.759394
Armenia,2021,5.300568580627441,9.56051254272461,0.7620441317558289,67.6500015258789,0.7951697707176208,-0.1587334424257278,0.7053338289260864,0.5657815933227539,0.4775399565696716,Hybrid regime,5.49,0.0,0.0,,,4.34,,2.49,5.23,7.720000000000001,3216.9988,108.52996,113.46996,10,130819.30177,0.774,0.715,35.527,63.431,22.540012
Australia,2008,7.253757476806641,10.70945644378662,0.9466351866722108,70.04000091552734,0.9157333374023438,0.2999327480792999,0.4308105111122131,0.7289922833442688,0.2184273153543472,Full democracy,9.09,174.135,8670.985,2720.621,416.829,19.12,285.707,22.816000000000003,226.26,249.076,3258.7896,108.43955,143.6353,0,6987221.634000001,0.92,0.994,35.838,84.943,27.288822
Australia,2010,7.450047016143799,10.713648796081545,0.9545195698738098,70.19999694824219,0.932058572769165,0.3113341629505157,0.3661274015903473,0.7617155313491821,0.2200732082128524,Full democracy,9.22,110.813,7993.945,2914.79,526.255,22.16,286.533,24.602000000000004,228.81,253.412,3534.0007,123.49002,153.90002,0,6142784.199999999,0.924,0.994,36.043,85.182,26.148222
Australia,2011,7.405616283416748,10.72338581085205,0.9670292139053344,70.27999877929688,0.944586455821991,0.3639772832393646,0.3817717432975769,0.7241322994232178,0.1953236758708953,Full democracy,9.22,114.953,7692.434,2850.813,544.515,30.61,249.012,33.184,225.67,258.854,3514.9995,122.389984,158.30998,0,6131615.333000001,0.927,0.994,36.179,85.3,26.35477
Australia,2012,7.19558572769165,10.744205474853516,0.9445990324020386,70.36000061035156,0.9351462721824646,0.2682772576808929,0.3682517409324646,0.72809237241745,0.2143969088792801,Full democracy,9.22,136.388,7276.08,3091.909,582.858,30.27,246.37,33.368,220.39,253.758,3562.9995,121.89999,159.64998,0,5996974.859,0.931,0.994,36.234,85.402,27.197039
Australia,2013,7.364169120788574,10.75245475769043,0.9282051920890808,70.44000244140625,0.9333791732788086,0.2634275555610657,0.4315390288829803,0.7701471447944641,0.1771422624588012,Full democracy,9.13,144.082,6726.005,3323.743,605.766,35.53,204.809,38.862,214.03,252.892,3545.9988,121.429955,155.67993,0,6028296.415000001,0.929,0.99,36.242,85.502,27.49041
Australia,2014,7.28855037689209,10.763002395629885,0.9237987399101256,70.5199966430664,0.922932267189026,0.3131643533706665,0.442021369934082,0.7398152947425842,0.2453043013811111,Full democracy,9.01,151.26,6614.094,3559.449,652.744,32.76,216.372,36.306,214.89,251.196,3534.0002,119.90001,161.08002,0,5960443.416999999,0.931,0.99,36.252,85.602,27.337116
Australia,2015,7.309060573577881,10.769908905029297,0.951861560344696,70.5999984741211,0.9218710064888,0.3265326619148254,0.3565543889999389,0.7495036721229553,0.2096369713544845,Full democracy,9.01,154.49,6809.335,3555.703,742.977,35.8,195.421,39.478,218.19,257.668,3520.0,120.38,162.09,0,5755566.402000001,0.933,0.989,36.254,85.701,28.120186
Australia,2016,7.250080108642578,10.78122901916504,0.942334234714508,70.67500305175781,0.9223157167434692,0.2332163602113723,0.3985451161861419,0.7358955144882202,0.2360857874155044,Full democracy,9.01,150.027,6710.282,3563.056,940.797,41.74,178.546,45.368,216.49000000000004,261.85800000000006,3537.999,121.28997,162.85995,0,5557511.588,0.936,0.991,36.247,85.8,28.496323
Australia,2017,7.25703763961792,10.787260055541992,0.9499578475952148,70.75,0.9105501770973206,0.3120236098766327,0.4113465249538421,0.7281498312950134,0.2253609746694564,Full democracy,9.09,144.772,6472.868,3473.313,1102.946,39.19,161.666,42.752,219.78,262.532,3493.9993,118.22997,159.69995,0,5479929.955,0.937,0.992,36.268,85.904,29.192316
Australia,2018,7.176993370056152,10.800652503967283,0.940137267112732,70.82499694824219,0.9160281419754028,0.1411612778902053,0.4046474993228912,0.7059827446937561,0.1874563694000244,Full democracy,9.09,143.719,6267.607,3638.038,1274.019,49.49,170.055,53.078,213.14,266.218,3470.0002,119.02001,160.43001,2,5416253.153,0.941,0.99,36.352,86.012,29.41556
Australia,2019,7.233994960784912,10.80728244781494,0.9427743554115297,70.9000015258789,0.9175369143486024,0.1151714995503425,0.4302086532115936,0.726976215839386,0.2021900713443756,Full democracy,9.09,136.845,5909.177,3662.102,1461.024,55.26,223.933,58.728,210.64,269.368,3504.0002,122.37001,160.74002,0,5397605.458,0.941,0.99,36.543,86.124,27.55645
Australia,2020,7.1373677253723145,10.794416427612305,0.9365170001983644,70.9749984741211,0.905282974243164,0.2015148401260376,0.4910948276519775,0.7256889343261719,0.2050776779651641,Full democracy,8.96,132.84,5567.966,3357.672,1457.164,64.28,222.271,67.69,200.94,268.63,3479.9998,124.41999,155.9,0,5028979.409,0.948,0.99,36.895,86.241,29.974062
Austria,2008,7.180953979492188,10.88117504119873,0.9345927834510804,69.69999694824219,0.8790692687034607,0.2856245934963226,0.6136252284049988,0.7162964940071106,0.1731945276260376,Full democracy,8.49,499.932,664.573,0.0,17.025,44.53,12.224,48.69,19.85,68.53999999999999,3726.3208,102.035225,162.26588,0,1031535.19,0.899,0.967,40.062,57.966,42.218334
Austria,2010,7.30267858505249,10.85598373413086,0.914193332195282,69.9000015258789,0.8959797620773315,0.1252141594886779,0.5461448431015015,0.71030193567276,0.15579254925251,Full democracy,8.49,535.704,588.318,0.0,18.069,44.99,12.654,49.47000000000001,22.83,72.30000000000001,3786.0005,110.710014,177.28001,0,1001264.2663999998,0.903,0.967,40.84,57.399,41.783985
Austria,2011,7.470512866973877,10.88142204284668,0.94415682554245,70.0,0.9393556118011476,0.1258932054042816,0.7027209997177124,0.6721920967102051,0.1452375501394271,Full democracy,8.49,543.426,647.106,0.0,17.804,40.91,13.208,45.470000000000006,21.29,66.76,3834.9995,111.619995,177.24998,0,967497.19,0.907,0.964,41.207,57.115,41.896942
Austria,2012,7.400688648223877,10.883644104003906,0.945142388343811,70.0999984741211,0.9197039008140564,0.1121185570955276,0.7705857753753662,0.712149977684021,0.1566749960184097,Full democracy,8.62,555.184,520.781,0.0,19.135,51.33,12.8,56.010000000000005,17.32,73.33000000000001,3823.9993,105.72999,177.65997,0,962025.4475,0.909,0.967,41.513,57.147,42.499275
Austria,2013,7.498802661895752,10.878005027770996,0.949809193611145,70.19999694824219,0.9217344522476196,0.1625643968582153,0.6789368987083435,0.7250531911849976,0.1626033186912536,Full democracy,8.48,554.275,496.489,0.0,15.399,50.5,10.872,55.20000000000001,14.05,69.25000000000001,3797.999,107.83997,176.50995,0,961437.059,0.907,0.97,41.759,57.336,43.33604
Austria,2014,6.949999809265137,10.87678050994873,0.898920476436615,70.30000305175781,0.8850268721580505,0.1119244396686554,0.5669313073158264,0.7209653258323669,0.1701495498418808,Full democracy,8.54,532.409,344.018,0.0,14.033,50.2,11.524,54.74999999999999,11.35,66.1,3755.002,107.84005,168.59009,0,913280.4233,0.911,0.97,41.945,57.526,43.366844
Austria,2015,7.076447010040283,10.875664710998535,0.9281103014945984,70.4000015258789,0.9003051519393921,0.0932100638747215,0.5574796199798584,0.747707724571228,0.1644690334796905,Full democracy,8.54,538.044,341.34,0.0,13.418,47.59,11.089,52.23999999999999,14.19,66.42999999999999,3734.999,108.13998,169.48996,0,916203.653,0.91,0.97,41.997,57.715,43.77833
Austria,2016,7.04807186126709,10.884549140930176,0.92631858587265,70.5250015258789,0.88851398229599,0.0741286501288414,0.5236409902572632,0.7134508490562439,0.1974238455295562,Full democracy,8.41,547.13,233.503,0.0,12.6,51.08,9.799,55.86,13.79,69.65,3715.9998,109.73999,167.86998,0,901242.336,0.913,0.97,42.007,57.905,42.364082
Austria,2017,7.293727874755859,10.899937629699709,0.9062178134918212,70.6500015258789,0.890030562877655,0.1275908648967743,0.5183038115501404,0.6988893747329712,0.180268719792366,Full democracy,8.42,559.25,200.057,,,51.05,,55.970000000000006,16.04,72.01,3754.0012,107.82004,171.49007,0,882349.9674,0.914,0.967,42.115,58.094,42.44607
Austria,2018,7.396001815795898,10.919031143188477,0.9116681218147278,70.7750015258789,0.9041119813919068,0.0479868464171886,0.5230605602264404,0.6946277022361755,0.2260587960481643,Full democracy,8.29,557.66,204.739,,,50.06,,54.99,14.61,69.6,3754.9966,110.4999,170.06985,0,822644.3489999999,0.917,0.952,42.274,58.297,42.79955
Austria,2019,7.195361137390137,10.929644584655762,0.9644888043403624,70.9000015258789,0.9034276604652404,0.0542902834713459,0.4570888876914978,0.7273411154747009,0.2051697373390197,Full democracy,8.29,524.778,168.92,,,54.64,,59.3,16.05,75.35,3814.0007,110.33002,183.28003,0,825744.0514,0.92,0.956,42.433,58.515,43.127434
Austria,2020,7.213489055633545,10.858776092529297,0.924831211566925,71.0250015258789,0.9119098782539368,0.0044160457327961,0.4638301730155945,0.7163522839546204,0.2064996510744094,Full democracy,8.16,515.28,62.866,,,55.42,,60.010000000000005,13.62,73.63000000000001,3777.0,109.43,182.98,4,783260.2187,0.916,0.96,42.572,58.748,42.69726
